Id;MathScore;ReadingScore;WritingScore;fk_Student;Year
4;57;52;48;1;2018
5;67;41;57;1;2019
6;63;42;74;1;2020
7;63;44;58;1;2021
8;42;67;62;2;2018
9;40;80;51;2;2019
10;41;98;37;2;2020
11;48;77;40;2;2021
12;47;71;79;3;2018
13;46;59;56;3;2019
14;55;66;53;3;2020
15;63;54;54;3;2021
16;73;59;40;4;2018
17;68;49;75;4;2019
18;79;45;55;4;2020
19;83;45;87;4;2021
20;44;35;44;5;2018
21;53;32;48;5;2019
22;52;29;54;5;2020
23;62;22;56;5;2021
24;70;35;76;6;2018
25;85;33;70;6;2019
26;81;33;72;6;2020
27;88;26;84;6;2021
28;66;29;36;7;2018
29;70;24;78;7;2019
30;87;23;64;7;2020
31;86;26;86;7;2021
32;70;47;34;8;2018
33;63;48;56;8;2019
34;77;42;78;8;2020
35;82;48;74;8;2021
36;60;36;61;9;2018
37;57;40;61;9;2019
38;51;30;64;9;2020
39;48;26;58;9;2021
40;41;59;51;10;2018
41;34;71;44;10;2019
42;32;54;34;10;2020
43;25;46;35;10;2021
44;59;35;39;11;2018
45;68;36;47;11;2019
46;83;37;76;11;2020
47;74;44;97;11;2021
48;41;29;32;12;2018
49;35;23;37;12;2019
50;28;28;29;12;2020
51;23;26;26;12;2021
52;90;49;53;13;2018
53;68;44;99;13;2019
54;61;51;54;13;2020
55;57;46;50;13;2021
56;44;43;85;14;2018
57;49;51;35;14;2019
58;60;40;54;14;2020
59;58;43;54;14;2021
60;35;39;33;15;2018
61;38;48;32;15;2019
62;35;44;36;15;2020
63;40;47;30;15;2021
64;43;40;34;16;2018
65;34;33;47;16;2019
66;31;40;30;16;2020
67;27;31;25;16;2021
68;47;71;60;17;2018
69;52;88;48;17;2019
70;45;68;44;17;2020
71;50;66;56;17;2021
72;33;56;48;18;2018
73;41;51;31;18;2019
74;31;48;44;18;2020
75;27;40;29;18;2021
76;32;42;89;19;2018
77;26;49;34;19;2019
78;29;57;28;19;2020
79;29;51;23;19;2021
80;65;47;64;20;2018
81;50;51;53;20;2019
82;42;42;49;20;2020
83;39;35;44;20;2021
84;67;39;89;21;2018
85;79;47;59;21;2019
86;97;47;81;21;2020
87;119;53;119;21;2021
88;34;33;36;22;2018
89;32;34;37;22;2019
90;26;32;34;22;2020
91;21;40;28;22;2021
92;89;71;27;23;2018
93;82;84;74;23;2019
94;73;91;74;23;2020
95;68;92;63;23;2021
96;50;29;45;24;2018
97;61;36;62;24;2019
98;73;35;48;24;2020
99;65;37;81;24;2021
100;36;60;40;25;2018
101;42;65;33;25;2019
102;44;76;38;25;2020
103;38;74;39;25;2021
104;74;55;35;26;2018
105;75;59;87;26;2019
106;63;55;83;26;2020
107;59;53;78;26;2021
108;41;64;61;27;2018
109;33;69;32;27;2019
110;27;56;35;27;2020
111;23;57;23;27;2021
112;40;45;64;28;2018
113;42;39;47;28;2019
114;37;30;44;28;2020
115;28;32;39;28;2021
116;91;30;64;29;2018
117;92;29;82;29;2019
118;102;33;74;29;2020
119;86;29;86;29;2021
120;86;50;78;30;2018
121;73;51;70;30;2019
122;56;60;80;30;2020
123;60;68;54;30;2021
124;76;61;37;31;2018
125;84;59;89;31;2019
126;86;71;104;31;2020
127;82;84;100;31;2021
128;33;33;59;32;2018
129;32;32;26;32;2019
130;32;28;37;32;2020
131;33;22;26;32;2021
132;58;30;28;33;2018
133;50;37;65;33;2019
134;38;45;52;33;2020
135;40;55;38;33;2021
136;88;29;45;34;2018
137;85;26;74;34;2019
138;80;24;87;34;2020
139;93;28;80;34;2021
140;59;66;74;35;2018
141;49;58;71;35;2019
142;53;65;59;35;2020
143;48;74;50;35;2021
144;43;40;51;36;2018
145;45;38;35;36;2019
146;52;36;43;36;2020
